"Module","Analysis","P value","Direction"
"NasalRNAseq_mod5","Longitudinal analysis - 2|5 shape",0.00105355494467794,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis - 3|4 average",0.00691608996443521,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis - 3|5 shape",0.00392147620051145,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis - 4|5 shape",0.0412517880660785,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis - 1|2 average",0.000700981615399715,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis - 1|3 shape",0.0241284017733744,"Severe"
"NasalRNAseq_mod6","Longitudinal analysis - 1|4 shape",0.00384150437828139,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis - 1|5 shape",0.024556776948315,"Severe"
"NasalRNAseq_mod6","Longitudinal analysis - 2|4 shape",0.00163739525126785,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis - 2|5 shape",0.0166897444893491,"Severe"
"NasalRNAseq_mod6","Longitudinal analysis - 3|4 shape",0.0121336493535289,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis - 3|5 shape",0.027984684641108,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis - 4|5 shape",0.0347099701000109,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis - 1|4 average",2.21410117594387e-07,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis - 1|5 average",0.000346261713269922,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis - 2|4 average",1.47406818443099e-08,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis - 2|5 average",0.000406369649696414,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis - 3|4 average",2.31186204504535e-06,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis - 3|5 average",0.00415288235541823,"Severe"
"NasalRNAseq_mod1","Longitudinal analysis DFSO- overall average",0.0438572542253959,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - overall shape",0.0102379296380828,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO- overall average",7.27051244535963e-12,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - overall shape",0.0131984987516634,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis DFSO- overall average",5.6164599167695e-15,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis DFSO - overall shape",0.00922368510091153,"Mild"
"NasalRNAseq_mod7","Longitudinal analysis DFSO - overall shape",0.0284978445464934,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis DFSO- overall average",1.99483839512712e-09,"Severe"
"NasalRNAseq_mod0","Longitudinal analysis DFSO - 1|4 average",0.0484525275031013,"Severe"
"NasalRNAseq_mod0","Longitudinal analysis DFSO - 3|5 shape",0.0244674732419627,"Severe"
"NasalRNAseq_mod0","Longitudinal analysis DFSO - 4|5 shape",0.00471708079425008,"Severe"
"NasalRNAseq_mod1","Longitudinal analysis DFSO - 1|5 average",0.0461185132980437,"Severe"
"NasalRNAseq_mod2","Longitudinal analysis DFSO - 1|4 average",0.0216926476103858,"Severe"
"NasalRNAseq_mod2","Longitudinal analysis DFSO - 1|5 shape",0.0255365968903091,"Severe"
"NasalRNAseq_mod2","Longitudinal analysis DFSO - 3|4 average",0.0164450082796118,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 1|4 average",1.60259028250349e-08,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 1|5 average",7.25985003646851e-06,"Mild"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 1|5 shape",5.95101757351104e-05,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 2|4 average",6.87674938901959e-08,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 2|5 average",7.53200623057021e-05,"Mild"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 2|5 shape",0.000937221321043392,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 3|4 average",5.347812547614e-08,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 3|5 average",0.00031310683966487,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 3|5 shape",0.00468874821419782,"Severe"
"NasalRNAseq_mod3","Longitudinal analysis DFSO - 4|5 shape",0.000234218609613373,"Severe"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 1|4 average",7.30727016733575e-13,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 1|5 average",2.68239273581294e-09,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 1|5 shape",0.000206404961185717,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 2|4 average",5.51598705500319e-10,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 2|5 average",0.00090813003517821,"Severe"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 2|5 shape",3.26710775024329e-05,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 3|4 average",3.889060773641e-09,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 3|5 average",0.000763239756870183,"Severe"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 3|5 shape",0.00064201022336602,"Mild"
"NasalRNAseq_mod4","Longitudinal analysis DFSO - 4|5 shape",0.00493305435569538,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis DFSO - 1|4 average",0.0110336741695396,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis DFSO - 1|5 shape",0.000508653726575858,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis DFSO - 2|4 average",0.00636794005884908,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis DFSO - 2|5 shape",0.00195765354014509,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis DFSO - 3|4 average",0.00357676433360701,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis DFSO - 3|5 shape",0.0239778641458143,"Mild"
"NasalRNAseq_mod5","Longitudinal analysis DFSO - 4|5 shape",0.0222603047655126,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis DFSO - 1|2 average",0.00498716888564874,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis DFSO - 1|4 shape",0.0171158092412507,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis DFSO - 2|4 average",0.0407957925818951,"Severe"
"NasalRNAseq_mod6","Longitudinal analysis DFSO - 3|4 shape",0.0317575319869977,"Mild"
"NasalRNAseq_mod6","Longitudinal analysis DFSO - 4|5 shape",0.0425565761436271,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis DFSO - 1|4 average",1.47778839709951e-08,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis DFSO - 1|5 average",0.00188991934447239,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis DFSO - 1|5 shape",0.0338335267974137,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis DFSO - 2|4 average",2.81540634355369e-09,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis DFSO - 2|5 average",0.00078516633199997,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis DFSO - 2|5 shape",0.0288500692295521,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis DFSO - 3|4 average",1.99453571665361e-05,"Severe"
"NasalRNAseq_mod7","Longitudinal analysis DFSO - 4|5 shape",0.0329250003290292,"Severe"
