Module (or Feature),Analysis,P value,Direction
Targetedprot_mod1,Longitudinal analysis DFSO - 1|4 shape,6.429396521981249e-7,Mild
Targetedprot_mod1,Longitudinal analysis DFSO - 1|5 average,1.336579338650932e-7,Mild
Targetedprot_mod1,Longitudinal analysis DFSO - 1|5 shape,1.0965439468372916e-4,Mild
Targetedprot_mod1,Longitudinal analysis DFSO - 2|4 average,2.9288029751564847e-5,Severe
Targetedprot_mod1,Longitudinal analysis DFSO - 2|4 shape,3.7637532407413225e-10,Mild
Targetedprot_mod1,Longitudinal analysis DFSO - 2|5 average,0.002840833781375286,Severe
Targetedprot_mod1,Longitudinal analysis DFSO - 2|5 shape,1.034071252563415e-5,Mild
Targetedprot_mod1,Longitudinal analysis DFSO - 3|4 average,3.2613657104326273e-4,Severe
Targetedprot_mod1,Longitudinal analysis DFSO - 3|4 shape,2.9582133527065834e-8,Mild
Targetedprot_mod1,Longitudinal analysis DFSO - 3|5 average,0.00415969068570743,Severe
Targetedprot_mod1,Longitudinal analysis DFSO - 3|5 shape,2.7632213684686486e-4,Mild
Targetedprot_mod2,Longitudinal analysis DFSO - 1|3 average,0.03031134842669303,Mild
Targetedprot_mod2,Longitudinal analysis DFSO - 1|4 shape,8.785086255624155e-4,Severe
Targetedprot_mod2,Longitudinal analysis DFSO - 2|4 shape,0.00543107920732098,Severe
Targetedprot_mod2,Longitudinal analysis DFSO - 3|4 average,0.04127994506094354,Severe
Targetedprot_mod2,Longitudinal analysis DFSO - 3|4 shape,0.012193041756489012,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 1|2 average,0.0040454726023393915,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 1|3 average,8.496347420915735e-4,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 1|4 average,6.679829267963574e-9,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 1|4 shape,0.0018812537880023602,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 1|5 average,2.7507847284912578e-9,Mild
Targetedprot_mod3,Longitudinal analysis DFSO - 1|5 shape,1.4183875496026535e-8,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 2|3 shape,0.03258773793905563,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 2|4 average,1.300902548798856e-5,Mild
Targetedprot_mod3,Longitudinal analysis DFSO - 2|4 shape,2.0820911819178288e-7,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 2|5 average,2.4177502198252285e-6,Mild
Targetedprot_mod3,Longitudinal analysis DFSO - 2|5 shape,8.733225185747625e-14,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 3|4 average,1.2235933193430103e-4,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 3|4 shape,0.005078914373593887,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 3|5 average,1.3129504315191766e-5,Mild
Targetedprot_mod3,Longitudinal analysis DFSO - 3|5 shape,3.5902182003309296e-9,Severe
Targetedprot_mod3,Longitudinal analysis DFSO - 4|5 shape,3.0855167175506357e-6,Severe
Targetedprot_mod4,Longitudinal analysis DFSO - 1|4 shape,6.896183351853928e-4,Severe
Targetedprot_mod4,Longitudinal analysis DFSO - 2|4 shape,0.033699770757364765,Severe
Targetedprot_mod5,Longitudinal analysis DFSO - 1|4 shape,0.01064234414211608,Mild
Targetedprot_mod5,Longitudinal analysis DFSO - 1|5 average,0.018518150394901973,Severe
Targetedprot_mod5,Longitudinal analysis DFSO - 1|5 shape,0.0026126906292382995,Mild
Targetedprot_mod5,Longitudinal analysis DFSO - 2|5 shape,0.035615133528783184,Mild
Targetedprot_mod5,Longitudinal analysis DFSO - 3|4 shape,0.03795494779787073,Mild
Targetedprot_mod5,Longitudinal analysis DFSO - 3|5 shape,0.04330802693333845,Mild
Targetedprot_mod6,Longitudinal analysis DFSO - 1|4 average,0.01886549249601586,Mild
Targetedprot_mod6,Longitudinal analysis DFSO - 1|4 shape,0.011540021327741897,Severe
Targetedprot_mod6,Longitudinal analysis DFSO - 1|5 average,0.004584416869073465,Severe
Targetedprot_mod6,Longitudinal analysis DFSO - 1|5 shape,0.03636906329507848,Severe
Targetedprot_mod6,Longitudinal analysis DFSO - 2|5 average,0.03772988117807247,Severe
Targetedprot_mod6,Longitudinal analysis DFSO - 3|4 shape,0.002581686460387192,Severe
Targetedprot_mod6,Longitudinal analysis DFSO - 3|5 average,0.021700229845523278,Severe
Targetedprot_mod6,Longitudinal analysis DFSO - 3|5 shape,0.0478931495648694,Severe
Targetedprot_mod7,Longitudinal analysis DFSO - 1|3 average,0.020295978397648684,Mild
Targetedprot_mod7,Longitudinal analysis DFSO - 1|4 average,8.600875113782305e-7,Mild
Targetedprot_mod7,Longitudinal analysis DFSO - 1|4 shape,2.433533516177254e-5,Mild
Targetedprot_mod7,Longitudinal analysis DFSO - 1|5 average,0.003483043263524583,Mild
Targetedprot_mod7,Longitudinal analysis DFSO - 1|5 shape,0.0031710551725239147,Mild
Targetedprot_mod7,Longitudinal analysis DFSO - 2|4 average,2.1565447886775507e-4,Severe
Targetedprot_mod7,Longitudinal analysis DFSO - 2|4 shape,3.90436126332338e-7,Mild
Targetedprot_mod7,Longitudinal analysis DFSO - 2|5 shape,3.52810487710106e-4,Mild
Targetedprot_mod7,Longitudinal analysis DFSO - 3|4 average,0.04143000279514912,Severe
Targetedprot_mod7,Longitudinal analysis DFSO - 3|4 shape,8.105975005469911e-4,Mild
Targetedprot_mod7,Longitudinal analysis DFSO - 3|5 shape,0.009169579057345716,Mild
