Module (or Feature),Analysis,P value,Q value,Direction
Acinetobacter,Longitudinal analysis - 2|5 average,0.0012400860571983809,0.05343323386582751,Mild
Acinetobacter,Longitudinal analysis - 3|4 average,3.120015014468731e-4,0.027098850724029445,Mild
Acinetobacter,Longitudinal analysis - 3|5 average,2.7420854763905695e-4,0.027098850724029445,Mild
Acinetobacter,Longitudinal analysis - 3|5 shape,0.020417653777955666,0.25522067222444583,Mild
Actinomyces,Longitudinal analysis - 1|4 shape,0.021522681269784093,0.260268595247035,Mild
Actinomyces,Longitudinal analysis - 1|5 shape,0.004149201426561071,0.18407152442446995,Mild
Agrobacterium,Longitudinal analysis - 1|2 shape,0.04370484020845862,0.2955299960474838,Severe
Agrobacterium,Longitudinal analysis - 1|4 average,0.03001935135244112,0.21349969711865455,Mild
Agrobacterium,Longitudinal analysis - 1|4 shape,0.01133933203631469,0.20433418163366626,Mild
Agrobacterium,Longitudinal analysis - 1|5 average,0.006982486622198869,0.09600919105523446,Mild
Agrobacterium,Longitudinal analysis - 1|5 shape,0.0036092059543848766,0.18407152442446995,Mild
Agrobacterium,Longitudinal analysis - 2|3 shape,0.010878172113526078,0.20433418163366626,Mild
Agrobacterium,Longitudinal analysis - 2|4 shape,7.243721732999763e-7,3.5774153640601326e-4,Mild
Agrobacterium,Longitudinal analysis - 2|5 shape,0.0075732830804428036,0.2009224654085195,Mild
Agrobacterium,Longitudinal analysis - 3|4 average,0.011737820062312668,0.12415001988984553,Mild
Agrobacterium,Longitudinal analysis - 3|5 average,0.006381445340966942,0.09488094601754607,Mild
Anaerococcus,Longitudinal analysis - 3|4 average,0.03192379843911029,0.22319604840903381,Mild
Anaerococcus,Longitudinal analysis - 3|5 average,0.00931181221666043,0.11053590041359504,Mild
Aquabacterium,Longitudinal analysis - 1|4 average,0.006497907212110731,0.09488094601754607,Mild
Aquabacterium,Longitudinal analysis - 1|5 average,0.008600403371520845,0.10526871208636567,Mild
Aquabacterium,Longitudinal analysis - 1|5 shape,0.020303698356306965,0.25522067222444583,Mild
Aquabacterium,Longitudinal analysis - 2|4 average,0.006459962277001923,0.09488094601754607,Mild
Aquabacterium,Longitudinal analysis - 2|5 average,0.007803559220944648,0.1005927555824896,Mild
Aquabacterium,Longitudinal analysis - 3|4 average,0.006951864195752412,0.09600919105523446,Mild
Aquabacterium,Longitudinal analysis - 3|5 average,0.0362502427884438,0.23878135910963588,Mild
Aquabacterium,Longitudinal analysis - 4|5 shape,0.004588050551358124,0.18407152442446995,Mild
Bacteroides,Longitudinal analysis - 1|3 average,0.02210617132233743,0.18266848768215296,Severe
Bacteroides,Longitudinal analysis - 1|4 average,0.0015249905859738106,0.05588104542910561,Severe
Bacteroides,Longitudinal analysis - 1|5 average,9.812937442105787e-5,0.020239183474343187,Severe
Bacteroides,Longitudinal analysis - 1|5 shape,0.01598337212440297,0.23704164394661378,Severe
Bacteroides,Longitudinal analysis - 2|4 average,0.027699111524965455,0.20587177484771624,Severe
Bacteroides,Longitudinal analysis - 2|5 average,3.070720743557878e-4,0.027098850724029445,Severe
Bacteroides,Longitudinal analysis - 2|5 shape,0.0024124923411104828,0.18407152442446995,Severe
Bacteroides,Longitudinal analysis - 3|4 shape,0.04660901063934692,0.2967217399088698,Mild
Bacteroides,Longitudinal analysis - 3|5 average,0.02696634471657481,0.20317109033035816,Severe
Bacteroides,Longitudinal analysis - 3|5 shape,0.03553770488963697,0.2739262912780349,Severe
Bacteroides,Longitudinal analysis - 4|5 average,0.04566507646793784,0.27399045880762707,Mild
Bacteroides,Longitudinal analysis - 4|5 shape,0.0010869420704403701,0.11956362774844072,Severe
Bifidobacterium,Longitudinal analysis - 1|3 shape,0.038685590891590696,0.2789499392408418,Severe
Bifidobacterium,Longitudinal analysis - 2|3 shape,0.005103989481109487,0.18407152442446995,Severe
Brevibacterium,Longitudinal analysis - 1|4 average,0.02809475653431709,0.20694798340010356,Mild
Brevibacterium,Longitudinal analysis - 2|4 average,0.03356751348751155,0.2274160607116549,Mild
Brevibacterium,Longitudinal analysis - 3|4 average,8.757046255916614e-4,0.04388508515854673,Mild
Brevibacterium,Longitudinal analysis - 3|5 average,0.03681754792637697,0.24011444299811066,Mild
Burkholderia,Longitudinal analysis - 1|5 average,0.008492500457220603,0.10526871208636567,Mild
Burkholderia,Longitudinal analysis - 2|4 average,0.004878071356691915,0.09069091244907432,Mild
Burkholderia,Longitudinal analysis - 2|5 average,3.454008066298579e-4,0.027098850724029445,Mild
Burkholderia,Longitudinal analysis - 3|4 average,0.0074685524615497765,0.09934931971942329,Mild
Burkholderia,Longitudinal analysis - 3|5 average,0.011537826244746245,0.12415001988984553,Mild
Comamonas,Longitudinal analysis - 1|4 average,0.0031736908164555636,0.0707647276642119,Mild
Comamonas,Longitudinal analysis - 1|5 average,0.004067766242736732,0.08185139390872694,Mild
Comamonas,Longitudinal analysis - 2|4 average,0.025703998034746333,0.1981850315763152,Mild
Comamonas,Longitudinal analysis - 2|5 average,0.005884492241231453,0.09476640315780292,Mild
Comamonas,Longitudinal analysis - 3|4 average,2.8305571112300292e-5,0.010455828307914864,Mild
Comamonas,Longitudinal analysis - 3|5 average,0.010190484175152623,0.11756187651021979,Mild
Cupriavidus,Longitudinal analysis - 1|3 shape,0.025001106002400464,0.2739262912780349,Mild
Cupriavidus,Longitudinal analysis - 1|5 average,0.006140339727238606,0.09476640315780292,Mild
Cupriavidus,Longitudinal analysis - 2|3 shape,0.03565270131349495,0.2739262912780349,Mild
Cupriavidus,Longitudinal analysis - 2|4 average,0.010352218594348827,0.1178011081425901,Mild
Cupriavidus,Longitudinal analysis - 2|5 average,0.0024243127510525206,0.0690841881221446,Mild
Cutibacterium,Longitudinal analysis - 1|2 average,0.027237421561808948,0.20335631482798536,Severe
Cutibacterium,Longitudinal analysis - 1|4 average,0.0013356207603850037,0.05343323386582751,Mild
Cutibacterium,Longitudinal analysis - 1|5 average,0.025247311924567903,0.1981850315763152,Mild
Cutibacterium,Longitudinal analysis - 1|5 shape,0.008859572351580474,0.2009224654085195,Mild
Cutibacterium,Longitudinal analysis - 2|4 average,3.515222217071923e-6,0.003921422138887457,Mild
Cutibacterium,Longitudinal analysis - 2|5 average,3.161300961849094e-4,0.027098850724029445,Mild
Cutibacterium,Longitudinal analysis - 3|4 average,7.129858434340831e-6,0.003921422138887457,Mild
Cutibacterium,Longitudinal analysis - 3|5 average,1.4507806916623858e-4,0.026414254898218612,Mild
Cutibacterium,Longitudinal analysis - 3|5 shape,0.04512038008886922,0.2955299960474838,Mild
Cutibacterium,Longitudinal analysis - 4|5 shape,0.012814453582899581,0.21357422638165968,Mild
Finegoldia,Longitudinal analysis - 1|3 average,0.021941123989788383,0.18266848768215296,Severe
Finegoldia,Longitudinal analysis - 1|4 shape,0.0323037446493092,0.2739262912780349,Severe
Finegoldia,Longitudinal analysis - 2|4 shape,0.036357489569630086,0.2739262912780349,Severe
Finegoldia,Longitudinal analysis - 3|4 average,0.016188840242513252,0.15398903901651448,Mild
Finegoldia,Longitudinal analysis - 3|4 shape,0.020195939806133274,0.25522067222444583,Severe
Flavobacterium,Longitudinal analysis - 2|4 shape,0.011517017510261188,0.20433418163366626,Mild
Flavobacterium,Longitudinal analysis - 3|4 shape,0.029481554049852282,0.2739262912780349,Mild
Fusobacterium,Longitudinal analysis - 1|4 average,0.0037825932870721103,0.07705282621813557,Severe
Fusobacterium,Longitudinal analysis - 1|5 average,4.430370407287309e-5,0.011369678170402964,Severe
Fusobacterium,Longitudinal analysis - 2|4 average,0.01111597795042301,0.12232042595486088,Severe
Fusobacterium,Longitudinal analysis - 2|5 average,3.078467794764753e-4,0.027098850724029445,Severe
Fusobacterium,Longitudinal analysis - 3|4 average,0.009668353389728499,0.11290038898065222,Severe
Fusobacterium,Longitudinal analysis - 3|5 average,0.004891812853313706,0.09069091244907432,Severe
Herbaspirillum,Longitudinal analysis - 1|4 average,0.010259945586346455,0.11756187651021979,Mild
Herbaspirillum,Longitudinal analysis - 1|5 average,0.0023753208721656815,0.0690841881221446,Mild
Herbaspirillum,Longitudinal analysis - 2|3 shape,0.02348627446246373,0.2739262912780349,Mild
Herbaspirillum,Longitudinal analysis - 2|4 average,0.012371349907892019,0.1283819330064266,Mild
Herbaspirillum,Longitudinal analysis - 2|5 average,0.0028716943305528786,0.0701595061308859,Mild
Herbaspirillum,Longitudinal analysis - 3|4 average,0.045661626475723,0.27399045880762707,Mild
Kocuria,Longitudinal analysis - 1|4 average,0.04832059206071555,0.28195134064925526,Mild
Kocuria,Longitudinal analysis - 1|5 shape,0.006499360274503987,0.19859156394317737,Mild
Kocuria,Longitudinal analysis - 2|4 average,0.027109815043541676,0.20332361282656256,Mild
Kocuria,Longitudinal analysis - 2|5 shape,0.025989732783914206,0.2739262912780349,Mild
Kocuria,Longitudinal analysis - 3|5 shape,0.018127889746429725,0.24925848401340872,Mild
Kocuria,Longitudinal analysis - 4|5 shape,0.036244139432660374,0.2739262912780349,Mild
Lawsonella,Longitudinal analysis - 1|4 average,0.017795107854308326,0.16312182199782632,Mild
Lawsonella,Longitudinal analysis - 1|5 average,0.0438387701637513,0.2698212318600382,Mild
Lawsonella,Longitudinal analysis - 2|4 average,0.005678304306053952,0.09476640315780292,Mild
Lawsonella,Longitudinal analysis - 2|5 average,0.0029011244196676038,0.0701595061308859,Mild
Lawsonella,Longitudinal analysis - 3|4 average,1.7609503265479074e-4,0.026414254898218612,Mild
Lawsonella,Longitudinal analysis - 3|5 average,8.777017031709346e-4,0.04388508515854673,Mild
Leifsonia,Longitudinal analysis - 1|4 average,0.029135365302898158,0.20901457717296504,Mild
Leifsonia,Longitudinal analysis - 1|5 average,0.011120038723169171,0.12232042595486088,Mild
Leifsonia,Longitudinal analysis - 2|4 average,0.005223188119870124,0.09367674345419245,Mild
Leifsonia,Longitudinal analysis - 2|5 average,0.0010319179514813454,0.047296239442894995,Mild
Leifsonia,Longitudinal analysis - 2|5 shape,0.039828536291275474,0.28084224307950656,Mild
Leifsonia,Longitudinal analysis - 3|4 average,0.02197145797650701,0.18266848768215296,Mild
Leifsonia,Longitudinal analysis - 4|5 shape,0.04708981872146742,0.2967217399088698,Mild
Leptotrichia,Longitudinal analysis - 1|4 shape,0.02969192046125554,0.2739262912780349,Mild
Leptotrichia,Longitudinal analysis - 1|5 shape,0.03470537251801334,0.2739262912780349,Mild
Leptotrichia,Longitudinal analysis - 2|5 shape,0.04747547838541917,0.2967217399088698,Mild
Mesorhizobium,Longitudinal analysis - 1|4 average,0.017430322262822904,0.16157321198684152,Mild
Mesorhizobium,Longitudinal analysis - 1|5 average,0.03399230437775525,0.227997163509334,Mild
Mesorhizobium,Longitudinal analysis - 1|5 shape,0.04806865230595213,0.2970534693064457,Mild
Mesorhizobium,Longitudinal analysis - 2|4 average,0.0026193812192395714,0.06970933889911762,Mild
Mesorhizobium,Longitudinal analysis - 2|5 average,0.0017274150572913994,0.057004696890616186,Mild
Mesorhizobium,Longitudinal analysis - 3|4 average,0.004125832003196539,0.08201955187077457,Mild
Mesorhizobium,Longitudinal analysis - 3|5 average,0.033061425811870666,0.2274160607116549,Mild
Mesorhizobium,Longitudinal analysis - 4|5 shape,0.03106735760930643,0.2739262912780349,Mild
Microbacterium,Longitudinal analysis - 1|4 average,0.030554198285617864,0.21608463924585614,Mild
Microbacterium,Longitudinal analysis - 1|5 average,0.025938312518419025,0.1990614681646111,Mild
Microbacterium,Longitudinal analysis - 2|4 average,0.0013522353202369245,0.05343323386582751,Mild
Microbacterium,Longitudinal analysis - 2|5 average,0.005439158846847686,0.09476640315780292,Mild
Microbacterium,Longitudinal analysis - 3|4 average,0.004317830798320962,0.08381671549681868,Mild
Microbacterium,Longitudinal analysis - 3|5 average,0.03329305136420487,0.2274160607116549,Mild
Microbacterium,Longitudinal analysis - 4|5 shape,0.03766836672185017,0.2789499392408418,Mild
Micrococcus,Longitudinal analysis - 1|4 average,0.013597445247011087,0.13707546295793926,Mild
Micrococcus,Longitudinal analysis - 1|5 average,0.04089193426684183,0.2585122281237127,Severe
Micrococcus,Longitudinal analysis - 1|5 shape,0.006293881270370944,0.19859156394317737,Mild
Micrococcus,Longitudinal analysis - 2|4 average,0.008077516574511074,0.10204864229656843,Mild
Micrococcus,Longitudinal analysis - 2|5 average,0.019704817400236177,0.17202618365285552,Mild
Micrococcus,Longitudinal analysis - 3|4 average,0.015498150248621455,0.15042322300132588,Mild
Micrococcus,Longitudinal analysis - 4|5 shape,0.016377422672675133,0.23704164394661378,Mild
Moraxella,Longitudinal analysis - 1|2 shape,0.008919681940871196,0.2009224654085195,Severe
Moraxella,Longitudinal analysis - 1|3 shape,0.02918779971688973,0.2739262912780349,Severe
Moraxella,Longitudinal analysis - 1|4 average,0.002243344538333267,0.06854663867129426,Mild
Moraxella,Longitudinal analysis - 1|4 shape,0.035286544966152814,0.2739262912780349,Mild
Moraxella,Longitudinal analysis - 1|5 average,0.042471556704867956,0.26444554174729107,Mild
Moraxella,Longitudinal analysis - 2|4 average,0.007344122125550942,0.09851871144031751,Mild
Moraxella,Longitudinal analysis - 2|4 shape,0.0341210953313952,0.2739262912780349,Mild
Moraxella,Longitudinal analysis - 2|5 average,0.04852980651175061,0.28195134064925526,Mild
Moraxella,Longitudinal analysis - 3|4 average,0.01914850553167825,0.16847987404237388,Mild
Moraxella,Longitudinal analysis - 3|4 shape,0.02956648907802048,0.2739262912780349,Mild
Mycobacterium,Longitudinal analysis - 1|5 shape,0.04865582648140808,0.29734116183082715,Mild
Mycobacterium,Longitudinal analysis - 2|4 average,0.0058470508195389995,0.09476640315780292,Mild
Mycobacterium,Longitudinal analysis - 3|4 average,0.0211137136445096,0.17957539955381877,Mild
Mycobacteroides,Longitudinal analysis - 1|5 average,0.02034612155910156,0.1757649244634428,Mild
Mycobacteroides,Longitudinal analysis - 2|4 average,0.003283426968582207,0.07128492760737686,Mild
Mycobacteroides,Longitudinal analysis - 2|5 average,9.566974899225254e-4,0.045101453096347624,Mild
Mycobacteroides,Longitudinal analysis - 3|4 average,0.0027384875862974138,0.0701595061308859,Mild
Mycobacteroides,Longitudinal analysis - 3|5 average,0.033676662084512934,0.2274160607116549,Mild
Nocardioides,Longitudinal analysis - 1|5 average,0.04511741841359059,0.27369022199420767,Mild
Nocardioides,Longitudinal analysis - 2|4 average,0.03778574823721713,0.24545860075357584,Mild
Nocardioides,Longitudinal analysis - 2|5 average,0.011305379305708149,0.12353560168489036,Mild
Ochrobactrum,Longitudinal analysis - 1|2 shape,0.008466541923120696,0.2009224654085195,Severe
Ochrobactrum,Longitudinal analysis - 1|4 average,0.015680436001804264,0.1513024526489885,Mild
Ochrobactrum,Longitudinal analysis - 1|5 average,0.006967167142589585,0.09600919105523446,Mild
Ochrobactrum,Longitudinal analysis - 2|3 shape,0.009908816368669693,0.20433418163366626,Mild
Ochrobactrum,Longitudinal analysis - 2|4 average,0.00899046780956988,0.10827935683058615,Mild
Ochrobactrum,Longitudinal analysis - 2|4 shape,9.38448622812806e-5,0.017204891418234777,Mild
Ochrobactrum,Longitudinal analysis - 2|5 average,0.02564877426398567,0.1981850315763152,Mild
Ochrobactrum,Longitudinal analysis - 2|5 shape,0.0037754361908176257,0.18407152442446995,Mild
Ochrobactrum,Longitudinal analysis - 3|4 average,0.008102043721727554,0.10204864229656843,Mild
Ochrobactrum,Longitudinal analysis - 3|5 average,0.02402764776333691,0.1928319880701683,Mild
Paracoccus,Longitudinal analysis - 1|4 average,0.0017203328824335336,0.057004696890616186,Mild
Paracoccus,Longitudinal analysis - 1|5 average,0.024435591233262412,0.19477645185933806,Mild
Paracoccus,Longitudinal analysis - 2|5 shape,0.029654252551205497,0.2739262912780349,Mild
Paracoccus,Longitudinal analysis - 3|4 average,0.009171990529946541,0.1096651041624043,Mild
Paracoccus,Longitudinal analysis - 3|5 average,0.03353412729029826,0.2274160607116549,Mild
Paracoccus,Longitudinal analysis - 4|5 shape,0.010080163696879193,0.20433418163366626,Mild
Peptoniphilus,Longitudinal analysis - 1|3 average,0.04064854140147156,0.25807043470377405,Severe
Peptoniphilus,Longitudinal analysis - 3|4 average,0.01375917155214121,0.13707546295793926,Mild
Peptoniphilus,Longitudinal analysis - 3|5 average,0.00629616787474514,0.09488094601754607,Mild
Porphyromonas,Longitudinal analysis - 1|4 average,0.02536658408531365,0.1981850315763152,Severe
Porphyromonas,Longitudinal analysis - 1|5 average,0.0015783718280354471,0.05588104542910561,Severe
Porphyromonas,Longitudinal analysis - 1|5 shape,0.045668102103334274,0.2955299960474838,Severe
Porphyromonas,Longitudinal analysis - 2|4 average,0.004959943282915825,0.09093229352012346,Severe
Porphyromonas,Longitudinal analysis - 2|5 average,5.338891618084289e-4,0.03388142757630414,Severe
Porphyromonas,Longitudinal analysis - 2|5 shape,0.021767918875206564,0.260268595247035,Severe
Porphyromonas,Longitudinal analysis - 3|4 average,0.003751634004216039,0.07705282621813557,Severe
Porphyromonas,Longitudinal analysis - 3|5 average,0.008341008304279541,0.10426260380349427,Severe
Porphyromonas,Longitudinal analysis - 3|5 shape,0.03574847075887526,0.2739262912780349,Severe
Porphyromonas,Longitudinal analysis - 4|5 shape,0.002158938326937628,0.18407152442446995,Severe
Prevotella,Longitudinal analysis - 1|4 average,3.6131800965372596e-4,0.027098850724029445,Severe
Prevotella,Longitudinal analysis - 1|5 average,2.6959720755552783e-4,0.027098850724029445,Severe
Prevotella,Longitudinal analysis - 1|5 shape,0.00706372918172599,0.2009224654085195,Severe
Prevotella,Longitudinal analysis - 2|4 average,0.00614545765932419,0.09476640315780292,Severe
Prevotella,Longitudinal analysis - 2|5 average,0.0017114504218164002,0.057004696890616186,Severe
Prevotella,Longitudinal analysis - 2|5 shape,0.005354807983257308,0.18407152442446995,Severe
Prevotella,Longitudinal analysis - 3|4 average,0.0030674901216487787,0.0701595061308859,Severe
Prevotella,Longitudinal analysis - 3|5 average,0.0066418342603878095,0.09600919105523446,Severe
Prevotella,Longitudinal analysis - 4|5 shape,0.015187163309236546,0.23704164394661378,Severe
Rhizobium,Longitudinal analysis - 1|4 average,0.0035836056937227213,0.0748474606916771,Mild
Rhizobium,Longitudinal analysis - 1|4 shape,0.008724119672698403,0.2009224654085195,Mild
Rhizobium,Longitudinal analysis - 1|5 average,0.0029864843983580264,0.0701595061308859,Mild
Rhizobium,Longitudinal analysis - 1|5 shape,0.0031318546268153903,0.18407152442446995,Mild
Rhizobium,Longitudinal analysis - 2|3 shape,0.01600221325221453,0.23704164394661378,Mild
Rhizobium,Longitudinal analysis - 2|4 average,0.017643688177031235,0.1626373491178857,Severe
Rhizobium,Longitudinal analysis - 2|4 shape,1.3008783142036845e-6,3.5774153640601326e-4,Mild
Rhizobium,Longitudinal analysis - 2|5 average,0.04999930939869936,0.28745247563712173,Mild
Rhizobium,Longitudinal analysis - 2|5 shape,7.689695551782404e-4,0.10573331383700806,Mild
Rhizobium,Longitudinal analysis - 3|4 average,0.0013601186802210637,0.05343323386582751,Mild
Rhizobium,Longitudinal analysis - 3|5 average,0.007646887032949551,0.09934931971942329,Mild
Rhodococcus,Longitudinal analysis - 1|5 shape,0.039052991493717853,0.2789499392408418,Mild
Rhodococcus,Longitudinal analysis - 2|4 average,0.011390592991579589,0.1236478844480679,Mild
Rhodococcus,Longitudinal analysis - 2|5 average,0.01256658209293314,0.129592877833373,Mild
Rhodococcus,Longitudinal analysis - 3|4 average,0.0014066851723217384,0.05397745428676438,Mild
Rhodococcus,Longitudinal analysis - 3|5 average,0.022141634870563996,0.18266848768215296,Mild
Rothia,Longitudinal analysis - 1|5 shape,0.0048871317941830824,0.18407152442446995,Mild
Rothia,Longitudinal analysis - 2|5 shape,0.026415419561300064,0.2739262912780349,Mild
Rothia,Longitudinal analysis - 3|5 shape,0.013362902510401228,0.21616459943296104,Mild
Sphingobium,Longitudinal analysis - 1|4 average,0.014795089297864042,0.145308912746879,Mild
Sphingobium,Longitudinal analysis - 1|5 average,0.005083952833875214,0.09218156237246267,Mild
Sphingobium,Longitudinal analysis - 1|5 shape,0.009132839336750886,0.2009224654085195,Mild
Sphingobium,Longitudinal analysis - 2|3 shape,0.04567281757097477,0.2955299960474838,Mild
Sphingobium,Longitudinal analysis - 2|4 average,6.975989782461072e-4,0.04161800210190324,Mild
Sphingobium,Longitudinal analysis - 2|4 shape,0.03578054154910866,0.2739262912780349,Mild
Sphingobium,Longitudinal analysis - 2|5 average,0.0021675483806249704,0.06854663867129426,Mild
Sphingobium,Longitudinal analysis - 2|5 shape,0.03440198614019593,0.2739262912780349,Mild
Sphingobium,Longitudinal analysis - 3|4 average,0.004738183748054082,0.08986210556654294,Mild
Sphingobium,Longitudinal analysis - 3|5 average,0.012684555270440398,0.129996995007619,Mild
Staphylococcus,Longitudinal analysis - 1|3 average,0.04494620560755661,0.2736577094187026,Severe
Staphylococcus,Longitudinal analysis - 1|5 shape,0.002963558279937069,0.18407152442446995,Mild
Staphylococcus,Longitudinal analysis - 2|5 shape,0.044730762098544666,0.2955299960474838,Mild
Staphylococcus,Longitudinal analysis - 3|5 shape,0.026921638683731493,0.2739262912780349,Mild
Veillonella,Longitudinal analysis - 1|3 shape,0.03316763045202626,0.2739262912780349,Mild
Veillonella,Longitudinal analysis - 1|4 shape,0.030089574570278346,0.2739262912780349,Mild
Veillonella,Longitudinal analysis - 2|3 shape,0.035969510589156886,0.2739262912780349,Severe
Xanthomonas,Longitudinal analysis - 1|3 shape,0.049203773278693325,0.2973854428932014,Mild
Xanthomonas,Longitudinal analysis - 3|4 average,0.048482915212257185,0.28195134064925526,Mild
Acinetobacter,Longitudinal analysis DFSO - overall shape,0.011798897952115469,0.06941769105314809,Mild
Acinetobacter,Longitudinal analysis DFSO- overall average,5.358732555754308e-4,0.004210432722378385,Severe
Actinomyces,Longitudinal analysis DFSO - overall shape,4.7397143973723524e-6,2.6068429185547936e-4,Mild
Agrobacterium,Longitudinal analysis DFSO - overall shape,0.01595337966016774,0.0797668983008387,Mild
Agrobacterium,Longitudinal analysis DFSO- overall average,0.0460257891985289,0.08438061353063632,Mild
Anaerococcus,Longitudinal analysis DFSO- overall average,0.03655185992997107,0.07179829629101461,Severe
