	Ensembl_ID	Gene	Description	Chromosome_Name	Start_Position	End_Position	Strand	Gene_GC_Percent	Biotype	RefSeq_ID	Unigene_ID	Entrez_ID
ENSG00000002745	ENSG00000002745	WNT16	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	7	121325367	121341104	1	38.61	protein_coding	NM_016087, NM_057168	Hs.272375	51384
ENSG00000002746	ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	7	43112599	43566001	1	42.03	protein_coding	NM_015052, , NM_001287059	Hs.733552	23072
ENSG00000002822	ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	7	1815793	2233243	-1	55.65	protein_coding	, NM_001304524, NM_003550, NM_001304523, NM_001013836, NM_001013837, NM_001304525		8379
ENSG00000002834	ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	17	38869859	38921770	1	53.69	protein_coding	NM_006148, , NM_001271608		3927
ENSG00000002919	ENSG00000002919	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	17	48103357	48123074	1	48	protein_coding	, NM_152244, NM_013323		29916
ENSG00000002933	ENSG00000002933	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	7	150800403	150805120	1	57.57	protein_coding	, NM_018487	Hs.647116	55365
ENSG00000003056	ENSG00000003056	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	12	8940363	8949955	-1	42.71	protein_coding	, NM_002355, NM_001207024	Hs.134084	4074
ENSG00000003096	ENSG00000003096	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	X	117897813	118117340	-1	36.56	protein_coding	, NM_001168300, NM_033495, NM_001168299, NM_001168303, NM_001168302, NM_001168301	Hs.348262	90293
ENSG00000003137	ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	2	72129238	72148038	-1	59.96	protein_coding	NM_019885, , NM_001277742	Hs.91546	56603
ENSG00000003147	ENSG00000003147	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	7	8113184	8262687	-1	40.3	protein_coding	NM_001350823, NM_001350820, NM_001350824, NM_001136020, NM_001276478, , NM_022307, NM_004968	Hs.487561	3382
ENSG00000003249	ENSG00000003249	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	16	90004865	90020128	-1	59.39	protein_coding	NM_024043, NM_001042610, , NM_001288709, NM_001288708	Hs.301394	79007
ENSG00000003393	ENSG00000003393	ALS2	ALS2, alsin Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:443]	2	201700554	201781189	-1	38.06	protein_coding	NM_020919, , NM_001135745	Hs.471096	57679
ENSG00000003400	ENSG00000003400	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	2	201182881	201229406	1	42.31	protein_coding	NM_032977, , NM_032974, NM_001306083, NM_001230, NM_001206542, NM_032976, NM_001206524	Hs.5353	843
ENSG00000003402	ENSG00000003402	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	2	201116104	201176687	1	44.35	protein_coding	NM_003879, NM_001202517, NM_001127184, NM_001202516, , NM_001308043, NM_001127183, NM_001308042, NM_001202519, NM_001202518, NM_001202515		8837
ENSG00000003436	ENSG00000003436	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	2	187464230	187565760	-1	36.6	protein_coding	NM_001329240, NM_006287, , NM_001318941, NM_001032281	Hs.516578	7035
ENSG00000003509	ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	2	37231631	37253403	1	38.97	protein_coding	, NM_144736, NM_001083946	Hs.433466	55471
ENSG00000003756	ENSG00000003756	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	3	50088908	50119021	1	44.45	protein_coding	NM_005778, 	Hs.439480, Hs.639235	10181
ENSG00000003987	ENSG00000003987	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	8	17298030	17413528	-1	40.36	protein_coding	NM_004686, 		9108
ENSG00000003989	ENSG00000003989	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	8	17497088	17570573	1	40.13	protein_coding	NM_001008539, , NM_001164771, NM_003046	Hs.448520	6542
ENSG00000004059	ENSG00000004059	ARF5	ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]	7	127588345	127591705	1	56.5	protein_coding	NM_001662, 		381
ENSG00000004139	ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	17	28364356	28404049	1	51.55	protein_coding	, NM_015077		23098
ENSG00000004142	ENSG00000004142	POLDIP2	DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]	17	28347177	28357522	-1	50.16	protein_coding	NM_015584, NM_001290145		26073
ENSG00000004399	ENSG00000004399	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	3	129555175	129606818	-1	58.39	protein_coding	NM_015103, 	Hs.301685	23129
ENSG00000004455	ENSG00000004455	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	1	33007940	33080996	-1	46.32	protein_coding	NM_001319139, NM_001199199, NM_013411, NM_001319142, , NM_001319141, NM_001319143, NM_001625, NM_001319140	Hs.470907	204
ENSG00000004468	ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	4	15778275	15853230	1	41.09	protein_coding	, NM_001775		952
ENSG00000004478	ENSG00000004478	FKBP4	FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]	12	2794953	2805423	1	51.56	protein_coding	NM_002014, 	Hs.524183, Hs.598828	2288
ENSG00000004487	ENSG00000004487	KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	1	23019448	23083689	1	39.16	protein_coding	NM_015013, NM_001009999, 	Hs.591518	23028
ENSG00000004534	ENSG00000004534	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	3	49940007	50100045	1	44.14	protein_coding	NM_001167582, NM_005777, , NM_001349190	Hs.696735	10180
ENSG00000004660	ENSG00000004660	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	17	3860315	3894891	-1	57.17	protein_coding	, NM_032294, NM_172206, NM_172207	Hs.8417	84254
ENSG00000004700	ENSG00000004700	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	12	21468911	21501669	-1	37.57	protein_coding	NM_002907, NM_032941, 	Hs.235069	5965
ENSG00000004766	ENSG00000004766	VPS50	VPS50, EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]	7	93232340	93361121	1	34.83	protein_coding	NM_024553, NM_017667, , NM_001257998	Hs.202424	55610
ENSG00000004776	ENSG00000004776	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	19	35754569	35758079	-1	62.55	protein_coding	NM_144617, 	Hs.534538, Hs.706708	126393
ENSG00000004777	ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	19	35774532	35788822	1	60.93	protein_coding	, NM_001172630, NM_052948	Hs.515364	115703
ENSG00000004779	ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	16	23581002	23596356	-1	48.8	protein_coding	NM_005003, 		4706
ENSG00000004799	ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	7	95583499	95596491	-1	36.07	protein_coding	NM_002612, 	Hs.8364	5166
ENSG00000004809	ENSG00000004809	SLC22A16	solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]	6	110424687	110476641	-1	41.33	protein_coding	, NM_033125	Hs.520319	85413
ENSG00000004838	ENSG00000004838	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	3	50341110	50346852	-1	57.81	protein_coding	, NM_015896, NM_001308379	Hs.526735	51364
ENSG00000004846	ENSG00000004846	ABCB5	ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]	7	20615207	20777038	1	37.73	protein_coding	NM_001163941, , NM_001163942, NM_001163993, NM_178559	Hs.404102	340273
ENSG00000004848	ENSG00000004848	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	X	25003694	25016420	-1	54.62	protein_coding	NM_139058, 	Hs.300304	170302
ENSG00000004864	ENSG00000004864	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	7	96120220	96322147	-1	39.76	protein_coding	, NM_014251, NM_001160210	Hs.489190	10165
ENSG00000004866	ENSG00000004866	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	7	116953238	117230103	1	39.15	protein_coding	, NM_021908, NM_018412	Hs.368131	7982, 93655
ENSG00000004897	ENSG00000004897	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	17	47117703	47189422	-1	38.66	protein_coding	NM_001293089, NM_001293091, NM_001114091, NM_001256, 	Hs.463295	996
ENSG00000004939	ENSG00000004939	SLC4A1	solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]	17	44248385	44268141	-1	55.8	protein_coding	NM_000342, 	Hs.443948	6521
ENSG00000004948	ENSG00000004948	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	7	93424487	93574730	-1	35.2	protein_coding	, NM_001164738, NM_001742, NM_001164737	Hs.489127	799
ENSG00000004961	ENSG00000004961	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	X	11111301	11123078	1	42.99	protein_coding	NM_001171991, NM_001122608, NM_005333, 		3052
ENSG00000004975	ENSG00000004975	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	17	7225341	7234545	-1	55.14	protein_coding	NM_004422, 	Hs.118640	1856
ENSG00000005001	ENSG00000005001	PRSS22	protease, serine 22 [Source:HGNC Symbol;Acc:HGNC:14368]	16	2852727	2858170	-1	59.35	protein_coding	NM_022119, 	Hs.459709	64063
ENSG00000005007	ENSG00000005007	UPF1	UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	19	18831938	18868236	1	55.16	protein_coding	NM_002911, NM_001297549, 	Hs.515266	5976
ENSG00000005020	ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	7	26667062	26995239	-1	36.94	protein_coding	NM_003930, NM_001303468, 	Hs.200770	8935
ENSG00000005022	ENSG00000005022	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	X	119468400	119471319	1	53.25	protein_coding	NM_001152, 	Hs.689039	292
ENSG00000005059	ENSG00000005059	MCUB	mitochondrial calcium uniporter dominant negative beta subunit [Source:HGNC Symbol;Acc:HGNC:26076]	4	109560205	109688726	1	41.01	protein_coding	NM_017918, 	Hs.234149	55013
ENSG00000005073	ENSG00000005073	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	7	27181510	27185223	-1	55.22	protein_coding	, NM_005523		3207
ENSG00000005075	ENSG00000005075	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	7	102473118	102478907	-1	55.04	protein_coding	NM_006234, 		5439
ENSG00000005100	ENSG00000005100	DHX33	DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]	17	5440912	5469060	-1	45.81	protein_coding	NM_001199699, NM_020162, 	Hs.250456	56919
ENSG00000005102	ENSG00000005102	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	17	43640388	43661954	-1	51.61	protein_coding	NM_004527, NM_001040002, , NM_013999		4222
ENSG00000005108	ENSG00000005108	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	7	11370357	11832198	-1	35.51	protein_coding	NM_015204, 	Hs.120855	221981
ENSG00000005156	ENSG00000005156	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	17	34980494	35009743	1	47.23	protein_coding	NM_013975, , NM_002311		3980
ENSG00000005175	ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]	12	47661249	47706061	-1	36.57	protein_coding	NM_001146075, NM_024604, , NM_001146076		79657
ENSG00000005187	ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	16	20610243	20797581	1	41.08	protein_coding	, NM_005622, NM_202000		6296
ENSG00000005189	ENSG00000005189	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	16	20806429	20849668	1	39.89	protein_coding	, NM_030941, NM_001199053, NM_001144924		81691
ENSG00000005194	ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	16	57428169	57447528	-1	44.41	protein_coding	NM_020313, NM_001308347, NM_001308358, 	Hs.4900	57019
ENSG00000005206	ENSG00000005206	SPPL2B	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]	19	2328615	2354806	1	61.06	protein_coding	, NM_001077238, NM_152988		56928
ENSG00000005238	ENSG00000005238	FAM214B	family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]	9	35104112	35116341	-1	54.68	protein_coding	, NM_025182, NM_001317991	Hs.301696	80256
ENSG00000005243	ENSG00000005243	COPZ2	coatomer protein complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	17	48026167	48038030	-1	52.71	protein_coding	, NM_016429	Hs.408434	51226
ENSG00000005249	ENSG00000005249	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	7	107044649	107161811	1	38.63	protein_coding	NM_002736, 	Hs.433068	5577
ENSG00000005302	ENSG00000005302	MSL3	MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]	X	11758159	11775753	1	42.85	protein_coding	NM_078629, NM_078628, , NM_006800, NM_001282174, NM_001193270	Hs.655288	10943
ENSG00000005339	ENSG00000005339	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	16	3725054	3880726	-1	45.01	protein_coding	NM_004380, NM_001079846, 	Hs.459759	1387
ENSG00000005379	ENSG00000005379	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]	17	58301228	58328760	-1	57.84	protein_coding	, NM_001261835, NM_004758, NM_024418		9256
ENSG00000005381	ENSG00000005381	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	17	58269856	58280935	-1	55.13	protein_coding	NM_000250, 	Hs.458272	4353
ENSG00000005421	ENSG00000005421	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	7	95297676	95324707	-1	40.5	protein_coding	NM_000446, 	Hs.370995	5444
ENSG00000005436	ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]	2	75652000	75710989	-1	36.39	protein_coding	, NM_003203, NM_001201334, NM_001201335	Hs.303808	6936
ENSG00000005448	ENSG00000005448	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	2	74421678	74425755	1	54.68	protein_coding	, NM_001320825, NM_001320824, NM_001320823, NM_032118		84058
ENSG00000005469	ENSG00000005469	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	7	87345681	87399795	1	37.43	protein_coding	NM_001143935, NM_001243745, NM_021151, 		54677
ENSG00000005471	ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	7	87401697	87480435	-1	38.6	protein_coding	, NM_000443, NM_018849, NM_018850	Hs.601011, Hs.654403	5244
ENSG00000005483	ENSG00000005483	KMT2E	lysine methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]	7	105014179	105114361	1	37.46	protein_coding	NM_182931, , NM_018682	Hs.592262	55904
ENSG00000005486	ENSG00000005486	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]	7	75842602	75888926	1	47.79	protein_coding	, NM_001346187, NM_001040456, NM_001040457	Hs.488827	57414
ENSG00000005513	ENSG00000005513	SOX8	SRY-box 8 [Source:HGNC Symbol;Acc:HGNC:11203]	16	981808	986979	1	64.81	protein_coding	NM_014587, 	Hs.243678	30812
ENSG00000005700	ENSG00000005700	IBTK	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	6	82169983	82247754	-1	36.07	protein_coding	NM_015525, , NM_001300906	Hs.306425	25998
ENSG00000005801	ENSG00000005801	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]	11	3339261	3379222	-1	41.43	protein_coding	, NM_007152, NM_001130520, NM_001130519, NM_001242841, NM_001256824, NM_001242842, NM_001256825, NM_001242843, NM_001256823		7748
ENSG00000005810	ENSG00000005810	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]	13	77044655	77327050	-1	35.72	protein_coding	, NM_015057	Hs.591221	23077
ENSG00000005812	ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]	13	76992598	77027195	-1	38.36	protein_coding	, NM_012158	Hs.508284	26224
ENSG00000005844	ENSG00000005844	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	16	30472658	30523185	1	50.46	protein_coding	NM_002209, , NM_001114380	Hs.174103	3683
ENSG00000005882	ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	17	50094737	50112152	1	56.67	protein_coding	NM_001199898, , NM_002611, NM_001199900, NM_001199899		5164
ENSG00000005884	ENSG00000005884	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	17	50055968	50090481	1	52.64	protein_coding	, NM_002204	Hs.265829	3675
ENSG00000005889	ENSG00000005889	ZFX	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:HGNC:12869]	X	24149173	24216255	1	40.77	protein_coding	, NM_001178084, NM_001178085, NM_003410, NM_001330327, NM_001178086, NM_001178095	Hs.336681	7543
ENSG00000005893	ENSG00000005893	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	X	120427827	120469365	-1	38.79	protein_coding	NM_001122606, NM_002294, , NM_013995		3920
ENSG00000005961	ENSG00000005961	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	17	44372180	44389505	-1	54.83	protein_coding	, NM_000419	Hs.411312	3674
ENSG00000005981	ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	7	95478444	95540232	1	38.27	protein_coding	, NM_145872, NM_016116	Hs.602765	51666
ENSG00000006007	ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]	16	19501689	19522145	-1	40.17	protein_coding	NM_016641, NM_001324066, NM_001324067, 	Hs.512607	51573
ENSG00000006015	ENSG00000006015	C19orf60	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:HGNC:26098]	19	18588685	18592336	1	60.24	protein_coding	, NM_001100418, NM_001100419	Hs.655317	55049
ENSG00000006016	ENSG00000006016	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	19	18572220	18607741	-1	55.32	protein_coding	, NM_004750	Hs.114948	9244
ENSG00000006025	ENSG00000006025	OSBPL7	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]	17	47807372	47821834	-1	57.86	protein_coding	NM_145798, 	Hs.463320	114881
ENSG00000006042	ENSG00000006042	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]	17	32927910	32945106	1	48.47	protein_coding	NM_001033504, NM_015544, , NM_001301746		26022
ENSG00000006047	ENSG00000006047	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	17	7288252	7294615	-1	57.92	protein_coding	NM_015982, 	Hs.567494	51087
ENSG00000006059	ENSG00000006059	KRT33A	keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]	17	41346092	41350812	-1	48.36	protein_coding	NM_004138		3883
